0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/page_common_home.action HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/images/header_bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/images/online.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/js/easyui/themes/icons/ok.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/js/easyui/themes/default/images/menu_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/js/easyui/themes/default/images/linkbutton_bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/js/easyui/themes/icons/cancel.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/js/easyui/themes/icons/help.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/js/easyui/themes/default/images/blank.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/js/easyui/themes/default/images/layout_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/page_common_home.action HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/page_common_home.action HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/js/easyui/themes/icons/mini_add.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/js/easyui/themes/default/images/accordion_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/js/easyui/themes/default/images/panel_tools.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "POST /bos-web/json/menu.json HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "POST /bos-web/json/admin.json HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/js/ztree/img/zTreeStandard.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2018:08:28:10 +0800] "GET /bos-web/page_portal_gonggao.action?_=1543796890484 HTTP/1.1" 200 637
