127.0.0.1 - - [29/Nov/2018:14:26:43 +0800] "GET / HTTP/1.1" 200 1130
0:0:0:0:0:0:0:1 - - [29/Nov/2018:14:26:46 +0800] "GET /bos-web/ HTTP/1.1" 200 8530
0:0:0:0:0:0:0:1 - - [29/Nov/2018:14:26:46 +0800] "GET /bos-web/js/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:14:26:46 +0800] "GET /bos-web/js/jquery-1.8.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:14:26:46 +0800] "GET /bos-web/js/ztree/jquery.ztree.all-3.5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:14:26:46 +0800] "GET /bos-web/js/ztree/zTreeStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:14:26:46 +0800] "GET /bos-web/js/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:14:26:46 +0800] "GET /bos-web/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:14:26:46 +0800] "GET /bos-web/js/easyui/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:14:26:46 +0800] "GET /bos-web/js/easyui/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:14:26:46 +0800] "GET /bos-web/page_common_home.action HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [29/Nov/2018:14:26:46 +0800] "GET /bos-web/page_common_home.action HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [29/Nov/2018:14:26:46 +0800] "GET /bos-web/page_common_home.action HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [29/Nov/2018:14:26:46 +0800] "GET /bos-web/page_common_home.action HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [29/Nov/2018:14:26:46 +0800] "GET /bos-web/js/easyui/themes/default/images/blank.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:14:26:46 +0800] "GET /bos-web/js/easyui/themes/default/images/menu_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:14:26:46 +0800] "GET /bos-web/js/easyui/themes/default/images/layout_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:14:26:46 +0800] "GET /bos-web/js/easyui/themes/default/images/linkbutton_bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:14:26:46 +0800] "GET /bos-web/js/easyui/themes/icons/cancel.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:14:26:46 +0800] "GET /bos-web/js/easyui/themes/icons/ok.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:14:26:46 +0800] "GET /bos-web/js/easyui/themes/icons/help.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:14:26:46 +0800] "GET /bos-web/js/easyui/themes/default/images/tabs_icons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:14:26:46 +0800] "GET /bos-web/js/easyui/themes/default/images/accordion_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:14:26:46 +0800] "GET /bos-web/js/easyui/themes/icons/mini_add.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:14:26:46 +0800] "POST /bos-web/json/admin.json HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [29/Nov/2018:14:26:46 +0800] "GET /bos-web/js/easyui/ext/portal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:14:26:46 +0800] "GET /bos-web/js/easyui/ext/jquery.cookie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:14:26:46 +0800] "GET /bos-web/images/online.png HTTP/1.1" 304 -
