0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:47:46 +0800] "GET /bos-web/js/easyui/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:47:48 +0800] "GET /bos-web/js/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:47:50 +0800] "GET /bos-web/js/ztree/zTreeStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:47:52 +0800] "GET /bos-web/js/ztree/jquery.ztree.all-3.5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:47:52 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:47:52 +0800] "GET /bos-web/js/easyui/themes/default/images/linkbutton_bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:47:52 +0800] "GET /bos-web/js/easyui/themes/default/images/blank.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:47:52 +0800] "GET /bos-web/js/easyui/themes/default/images/layout_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:47:52 +0800] "GET /bos-web/js/easyui/themes/icons/cut.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:47:52 +0800] "GET /bos-web/js/easyui/themes/default/images/tabs_icons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:47:52 +0800] "GET /bos-web/js/easyui/themes/default/images/accordion_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:47:52 +0800] "POST /bos-web/json/menu.json HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:47:54 +0800] "GET /bos-web/js/ztree/img/zTreeStandard.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:48:23 +0800] "GET /bos-web/easyui/05-ztree2.jsp HTTP/1.1" 200 5310
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:48:23 +0800] "GET /bos-web/js/easyui/themes/default/easyui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:48:23 +0800] "GET /bos-web/js/easyui/themes/icon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:48:23 +0800] "GET /bos-web/js/jquery-1.8.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:48:23 +0800] "GET /bos-web/js/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:48:23 +0800] "GET /bos-web/js/ztree/zTreeStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:48:23 +0800] "GET /bos-web/js/ztree/jquery.ztree.all-3.5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:48:23 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:48:23 +0800] "GET /bos-web/js/easyui/themes/default/images/linkbutton_bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:48:23 +0800] "GET /bos-web/js/easyui/themes/default/images/blank.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:48:23 +0800] "GET /bos-web/js/easyui/themes/default/images/layout_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:48:23 +0800] "GET /bos-web/js/easyui/themes/icons/cut.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:48:23 +0800] "GET /bos-web/js/easyui/themes/default/images/tabs_icons.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:48:23 +0800] "GET /bos-web/js/easyui/themes/default/images/accordion_arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:48:23 +0800] "POST /bos-web/json/menu.json HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:48:24 +0800] "GET /bos-web/js/ztree/img/zTreeStandard.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:48:26 +0800] "GET /bos-web/js/ztree/img/line_conn.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2018:15:49:17 +0800] "GET /bos-web/easyui/05-ztree2.jsp HTTP/1.1" 200 5327
